LED,Header pin,Black,AI,AI-64 
/sys/class/leds/led_P8_30 ,P8_30,gpio2_25,gpio4_20,gpio0_74 
/sys/class/leds/led_P8_31 ,P8_31,gpio0_10,gpio8_14,gpio0_32 
/sys/class/leds/led_P8_32 ,P8_32,gpio0_11,gpio8_15,gpio0_26 
/sys/class/leds/led_P8_33 ,P8_33,gpio0_9,gpio8_13,gpio0_25 
/sys/class/leds/led_P8_34 ,P8_34,gpio2_17,gpio8_11,gpio0_7 
/sys/class/leds/led_P8_35 ,P8_35,gpio0_8,gpio8_12,gpio0_24 
/sys/class/leds/led_P8_36 ,P8_36,gpio2_16,gpio8_10,gpio0_8 
/sys/class/leds/led_P8_37 ,P8_37,gpio2_14,gpio8_8,gpio0_106 
/sys/class/leds/led_P8_38 ,P8_38,gpio2_15,gpio8_9,gpio0_105 
/sys/class/leds/led_P8_39 ,P8_39,gpio2_12,gpio8_6,gpio0_69 
/sys/class/leds/led_P8_40 ,P8_40,gpio2_13,gpio8_7,gpio0_70 
/sys/class/leds/led_P8_41 ,P8_41,gpio2_10,gpio8_4,gpio0_67 
/sys/class/leds/led_P8_42 ,P8_42,gpio2_11,gpio8_5,gpio0_68 
/sys/class/leds/led_P8_43 ,P8_43,gpio2_8,gpio8_2,gpio0_65 
/sys/class/leds/led_P8_44 ,P8_44,gpio2_9,gpio8_3,gpio0_66 
/sys/class/leds/led_P8_45 ,P8_45,gpio2_6,gpio8_0,gpio0_79 
/sys/class/leds/led_P8_46 ,P8_46,gpio2_7,gpio8_1,gpio0_80 
/sys/class/leds/led_P9_11 ,P9_11,gpio0_30,gpio8_17,gpio0_1 
/sys/class/leds/led_P9_12 ,P9_12,gpio1_28,gpio5_0,gpio0_45 
/sys/class/leds/led_P9_13 ,P9_13,gpio0_31,gpio6_12,gpio0_2 
/sys/class/leds/led_P9_14 ,P9_14,gpio1_18,gpio4_25,gpio0_93 
/sys/class/leds/led_P9_15 ,P9_15,gpio1_16,gpio3_12,gpio0_47 
/sys/class/leds/led_P9_16 ,P9_16,gpio1_19,gpio4_26,gpio0_94 
/sys/class/leds/led_P9_17 ,P9_17,gpio0_5,gpio7_17,gpio0_28 
/sys/class/leds/led_P9_18 ,P9_18,gpio0_4,gpio7_16,gpio0_40 
/sys/class/leds/led_P9_19 ,P9_19,gpio0_13,gpio7_3,gpio0_78 
/sys/class/leds/led_P9_20 ,P9_20,gpio0_12,gpio7_4,gpio0_77 
/sys/class/leds/led_P9_21 ,P9_21,gpio0_3,gpio3_3,gpio0_39 
/sys/class/leds/led_P9_22 ,P9_22,gpio0_2,gpio6_19,gpio0_38 
/sys/class/leds/led_P9_23 ,P9_23,gpio1_17,gpio7_11,gpio0_10 
/sys/class/leds/led_P9_24 ,P9_24,gpio0_15,gpio6_15,gpio0_13 
/sys/class/leds/led_P9_25 ,P9_25,gpio3_21,gpio6_17,gpio0_127 
/sys/class/leds/led_P9_26 ,P9_26,gpio0_14,gpio6_14,gpio0_12 
/sys/class/leds/led_P9_27 ,P9_27,gpio3_19,gpio4_15,gpio0_46 
/sys/class/leds/led_P9_28 ,P9_28,gpio3_17,gpio4_17,gpio1_11 
/sys/class/leds/led_P9_29 ,P9_29,gpio3_15,gpio5_11,gpio0_53 
/sys/class/leds/led_P9_30 ,P9_30,gpio3_16,gpio5_12,gpio0_44 
/sys/class/leds/led_P9_31 ,P9_31,gpio3_14,gpio5_10,gpio0_52 
/sys/class/leds/led_P9_33 ,P9_33,,,gpio0_50 
/sys/class/leds/led_P9_35 ,P9_35,,,gpio0_55 
/sys/class/leds/led_P9_36 ,P9_36,,,gpio0_56 
/sys/class/leds/led_P9_37 ,P9_37,,,gpio0_57 
/sys/class/leds/led_P9_38 ,P9_38,,,gpio0_58 
/sys/class/leds/led_P9_39 ,P9_39,,,gpio0_54 
/sys/class/leds/led_P9_40 ,P9_40,,,gpio0_81 
/sys/class/leds/led_P9_41 ,P9_41,gpio0_20,gpio6_20,gpio1_0 
/sys/class/leds/led_P9_91 ,P9_91,gpio3_20,,
/sys/class/leds/led_P9_42 ,P9_42,gpio0_7,gpio4_18,gpio0_123 
/sys/class/leds/led_P9_92 ,P9_92,gpio3_18,,
/sys/class/leds/led_A15 ,A15,gpio0_19,,
